sound_type;id;duration;dom_freq;min_freq;max_freq;pace;amplitude;comments
1;001_L_GRANAM_20140620_000000_001;0,126;3716;3353;4578;3,588516746;;
1;001_L_MORTCE_20140701_080000_024;0,112;3470;2974;3674;4,012841091;;
1;001_L_VILOAM_20140622_040000_006;0,116;3498;2773;3834;4,003202562;;
1;001_L_MOIRAM_20140622_220000_009;0,121;2890;2512;4264;4,498714653;;
1;001_R_MORTCE_20140626_020000_005;0,101;3690;2486;4529;4,784688995;;
1;001_R_ROSSAM_20140626_050000_002;0,117;2923;2603;4441;4,057971014;;
2;002_L_BEARAV_20140620_000000_010;0,057;214;110;450;0;;
2;002_L_MOIRAM_20140622_150000_003;0,026;275;120;454;0;;
2;002_L_ROSSAM_20140626_040000_005;0,071;50;0;170;0;;
2;002_R_GRANAM_20140701_160000_013;0,035;74;137;809;0;;
2;002_R_MORTCE_20140704_040000_014;0,022;111;28;872;0;;
2;002_R_VILOAM_20140704_030000_006;0,155;324;0;507;0;;
3;003_L_BEARAV_20140620_040000_002;0,025;1076;290;1468;0;;
3;003_L_MOIRAM_20140622_170000_001;0,04;930;608;2769;15,03759398;;
3;003_L_ROSSAM_20140626_110000_017;0,021;388;238;736;0;;
3;003_R_GRANAM_20140701_220000_014;0,019;442;259;1356;0;;
3;003_R_MORTCE_20140704_210000_025;0,031;965;173;1000;0;;
3;003_R_VILOAM_20140626_010000_004;0,02;268;130;497;0;;
4;004_L_BEARAV_20140620_010000_013;0,014;12068;;;;;
4;004_L_BEARAV_20140620_040000_009;0,014;840;;;;;
4;004_L_VILOAM_20140622_220000_002;0,015;16579;;;;;
4;004_R_BEARAV_20140626_140000_006;0,016;13957;;;;;
4;004_R_MOIRAM_20140622_100000_002;0,021;7145;;;;;
5;005_L_BEARAV_20140620_010000_019;0,02;1192;727;2345;24,3902439;;
5;005_L_MOIRAM_20140622_120000_002;0,018;2032;500;2319;0;;
5;005_L_ROSSAM_20140626_200000_008;0,014;490;221;648;0;;
5;005_R_GRANAM_20140701_070000_014;0,023;2858;2484;3067;0;;
5;005_R_MORTCE_20140704_190000_022;0,018;953;732;1518;0;;
5;005_R_VILOAM_20140620_110000_004;0,019;1486;290;7000;0;;
6;006_L_ROSSAM_20140704_130000_017;0,021;3871;3830;4633;0;;
7;007_L_BEARAV_20140620_100000_002;0,018;420;361;2052;0;;
7;007_L_MOIRAM_20140622_010000_013;0,017;2421;3858;2146;0;;
7;007_L_ROSSAM_20140626_150000_014;0,013;4433;3658;4398;2,901915264;;
7;007_R_GRANAM_20140701_190000_004;0,015;5404;3679;7091;0;;
7;007_R_MORTCE_20140704_090000_022;0,015;2941;1817;3026;0;;
7;007_R_VILOAM_20140704_170000_002;0,016;6504;1145;12972;1,360914535;;
8;008_L_GRANAM_20140620_140000_065;0,072;389;140;500;0;;
8;008_L_MORTCE_20140622_010000_002;0,107;196;170;250;0;;
8;008_L_VILOAM_20140626_070000_035;0,11;98;;;;;Hard to define
8;008_R_BEARAV_20140701_030000_011;0,06;201;120;480;0;;
8;008_R_MOIRAM_20140704_140000_007;0,092;729;600;3196;2,645502646;;
8;008_R_ROSSAM_20140626_130000_038;0,199;263;139;514;0;;
9;009_L_GRANAM_20140620_120000_064;1,603;3287;2080;5000;7;;I don't get why duration that long for this sound 
9;009_L_MORTCE_20140622_120000_006;0,141;4467;4200;5035;4;;not sure
9;009_L_VILOAM_20140701_200000_002;0,409;3357;2980;3757;17,5;;
9;009_R_BEARAV_20140626_080000_005;0,086;3253;3152;3860;0;;
9;009_R_MOIRAM_20140704_090000_008;1,933;3498;3433;3558;1,919385797;;
9;009_R_ROSSAM_20140701_090000_016;0,129;3704;3560;3961;2,834868887;;
10;010_R_MOIRAM_20140701_060000_004;0,481;5734;4285;6848;16,63201663;;
11;011_L_BEARAV_20140620_040000_009;0,015;838;203;12087;16,39344262;;
11;011_L_MORTCE_20140626_000000_012;0,013;9421;1062;15401;0;;
11;011_L_VILOAM_20140626_080000_031;0,017;9953;2127;12820;0;;
11;011_R_GRANAM_20140704_140000_004;0,018;4019;1907;22000;0;;
11;011_R_MOIRAM_20140622_100000_002;0,02;7145;732;22000;0;;
11;011_R_ROSSAM_20140622_220000_015;0,018;7649;4357;11100;0;;
12;012_L_GRANAM_20140626_040000_021;1,519;3186;2689;4072;4,043126685;;
12;012_L_MORTCE_20140704_080000_031;0,849;3194;2638;4356;18,86792453;;
12;012_L_VILOAM_20140620_120000_025;0,95;3067;1781;7963;7,731958763;;
12;012_R_MOIRAM_20140704_080000_008;3,795;3221;2178;3420;9,646302251;;
12;012_R_MORTCE_20140622_050000_008;0,989;2909;1931;4456;19,88636364;;
12;012_L_ROSSAM_20140626_000000_011;1,306;3503;3340;3886;16,07717042;;
13;013_L_VILOAM_20140620_230000_012;0,085;2408;1991;4285;0;;
14;014_L_MORTCE_20140622_120000_002;0,42;9521;8355;16568;1,761892776;;
14;014_L_MORTCE_20140701_160000_008;1,04;6903;5991;6980;0;;pace could also be 2/0,852 but not coherent with duration
14;014_R_GRANAM_20140622_090000_017;1,327;10748;9975;11319;20,97902098;;
14;014_R_VILOAM_20140704_160000_010;3,036;4288;3094;9239;0,3;;
15;015_L_MOIRAM_20140701_140000_003;3,768;3457;;;;;
15;015_L_ROSSAM_20140620_160000_007;4,825;7982;;;;;
15;015_L_VILOAM_20140704_120000_002;10;6437;;;;;
15;015_R_MORTCE_20140622_170000_004;1,937;3636;;;;;
15;015_R_VILOAM_20140620_130000_002;0,503;9324;;;;;
15;015_L_MORTCE_20140622_120000_019;0,62;8201;;;;;
16;016_L_BEARAV_20140701_130000_007;4,336;6937;;;;;
16;016_L_BEARAV_20140701_130000_027;6,132;7997;;;;;
16;016_L_VILOAM_20140626_180000_001;10;8982;;;;;
16;016_R_BEARAV_20140622_100000_005;0,566;10553;;;;;
16;016_R_BEARAV_20140622_150000_042;1,767;2594;;;;;
16;016_R_BEARAV_20140704_130000_018;0,585;8100;;;;;
17;017_L_BEARAV_20140620_110000_022;1,098;13491;;;;;
17;017_L_MORTCE_20140622_120000_021;0,118;15231;;;;;
17;017_L_VILOAM_20140626_170000_008;1,094;8988;;;;;
17;017_L_VILOAM_20140704_010000_041;0,967;13284;;;;;
17;017_R_GRANAM_20140701_130000_015;0,4;14353;;;;;
17;017_R_ROSSAM_20140626_160000_016;0,532;7035;;;;;
18;018_R_VILOAM_20140620_110000_012;0,39;1468;;;;;
19;019_L_GRANAM_20140620_120000_036;4,655;2712;;;;;
19;019_L_MORTCE_20140620_160000_004;3,818;951;;;;;
19;019_L_MORTCE_20140620_170000_005;3,005;1877;;;;;
19;019_L_MORTCE_20140704_140000_018;2,085;4245;;;;;
19;019_R_MORTCE_20140704_140000_022;1,806;2285;;;;;
19;019_R_VILOAM_20140620_120000_043;1,369;1354;;;;;
20;020_L_MORTCE_20140626_180000_004;0,052;13682;;;;;
21;021_L_GRANAM_20140620_170000_003;0,183;355;;;;;
21;021_L_MORTCE_20140626_050000_035;0,253;375;;;;;
21;021_L_VILOAM_20140704_210000_001;0,454;2702;;;;;
